sample,fpl,SWB_1,SWB_2,SWB_3,FWBscore,FWB1_1,FWB1_2,FWB1_3,FWB1_4,FWB1_5,FWB1_6,FWB2_1,FWB2_2,FWB2_3,FWB2_4,FSscore,FS1_1,FS1_2,FS1_3,FS1_4,FS1_5,FS1_6,FS1_7,FS2_1,FS2_2,FS2_3,SUBKNOWL1,ACT1_1,ACT1_2,FINGOALS,PROPPLAN_1,PROPPLAN_2,PROPPLAN_3,PROPPLAN_4,MANAGE1_1,MANAGE1_2,MANAGE1_3,MANAGE1_4,SAVEHABIT,FRUGALITY,AUTOMATED_1,AUTOMATED_2,ASK1_1,ASK1_2,SUBNUMERACY2,SUBNUMERACY1,CHANGEABLE,GOALCONF,LMscore,FINKNOWL1,FINKNOWL2,FINKNOWL3,FK1correct,FK2correct,FK3correct,KHscore,KHKNOWL1,KHKNOWL2,KHKNOWL3,KHKNOWL4,KHKNOWL5,KHKNOWL6,KHKNOWL7,KHKNOWL8,KHKNOWL9,KH1correct,KH2correct,KH3correct,KH4correct,KH5correct,KH6correct,KH7correct,KH8correct,KH9correct,ENDSMEET,HOUSING,LIVINGARRANGEMENT,HOUSERANGES,IMPUTATION_FLAG,VALUERANGES,MORTGAGE,SAVINGSRANGES,PRODHAVE_1,PRODHAVE_2,PRODHAVE_3,PRODHAVE_4,PRODHAVE_5,PRODHAVE_6,PRODHAVE_7,PRODHAVE_8,PRODHAVE_9,PRODUSE_1,PRODUSE_2,PRODUSE_3,PRODUSE_4,PRODUSE_5,PRODUSE_6,CONSPROTECT1,CONSPROTECT2,CONSPROTECT3,EARNERS,VOLATILITY,SNAP,MATHARDSHIP_1,MATHARDSHIP_2,MATHARDSHIP_3,MATHARDSHIP_4,MATHARDSHIP_5,MATHARDSHIP_6,COLLECT,REJECTED_1,REJECTED_2,ABSORBSHOCK,BENEFITS_1,BENEFITS_2,BENEFITS_3,BENEFITS_4,BENEFITS_5,FRAUD2,COVERCOSTS,BORROW_1,BORROW_2,SHOCKS_1,SHOCKS_2,SHOCKS_3,SHOCKS_4,SHOCKS_5,SHOCKS_6,SHOCKS_7,SHOCKS_8,SHOCKS_9,SHOCKS_10,SHOCKS_11,SHOCKS_12,MANAGE2,PAIDHELP,HSLOC,PAREDUC,FINSOC2_1,FINSOC2_2,FINSOC2_3,FINSOC2_4,FINSOC2_5,FINSOC2_6,FINSOC2_7,OBJNUMERACY1,ON2correct,ON1correct,MATERIALISM_1,MATERIALISM_2,MATERIALISM_3,CONNECT,HEALTH,SCFHORIZON,DISCOUNT,MEMLOSS,DISTRESS,SELFCONTROL_1,SELFCONTROL_2,SELFCONTROL_3,OUTLOOK_1,OUTLOOK_2,INTERCONNECTIONS_1,INTERCONNECTIONS_2,INTERCONNECTIONS_3,INTERCONNECTIONS_4,INTERCONNECTIONS_5,INTERCONNECTIONS_6,INTERCONNECTIONS_7,INTERCONNECTIONS_8,INTERCONNECTIONS_9,INTERCONNECTIONS_10,PEM,HOUSESAT,SOCSEC1,SOCSEC2,SOCSEC3,LIFEEXPECT,HHEDUC,KIDS_NoChildren,KIDS_1,KIDS_2,KIDS_3,KIDS_4,EMPLOY,EMPLOY1_1,EMPLOY1_2,EMPLOY1_3,EMPLOY1_4,EMPLOY1_5,EMPLOY1_6,EMPLOY1_7,EMPLOY1_8,EMPLOY1_9,RETIRE,MILITARY,Military_Status,agecat,generation,PPEDUC,PPETHM,PPGENDER,PPHHSIZE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,PPREG9,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PCTLT200FPL
1,2,3,4,7,38,3,2,5,3,5,5,3,2,2,4,38,3,3,1,1,2,3,4,4,4,5,3,5,3,0,5,3,3,2,4,3,1,1,4,4,7,7,4,4,4,2,6,2,1,3,1,2,0,0,1,-1.485,2,1,2,2,2,2,2,4,1,0,0,1,0,0,1,0,0,1,2,2,2,3,1,-2,-2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,1,2,3,1,3,2,1,3,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,1,1,0,1,2,0,1,3,3,3,67,4,3,2,0,4,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,4,2,-2,-2,71,0,3,1,0,0,0,0,3,0,0,1,1,1,0,0,0,0,-2,1,3,1,4,2,1,2,2,2,5,1,4,8,0,0,0,0,2,0
1,3,7,7,7,60,3,3,2,3,3,3,1,3,2,2,54,4,3,4,4,3,3,4,4,4,3,5,3,3,0,2,3,4,3,5,4,5,3,6,6,1,1,5,5,4,5,4,4,3,1,3,2,1,1,1,0.7120000000000001,3,3,2,1,1,2,4,3,1,1,1,1,1,1,1,1,0,1,1,1,2,4,0,2,2,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,0,2,1,0,1,1,1,1,1,1,0,0,0,3,1,1,0,0,1,0,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-2,1,5,1,1,1,1,1,1,1,3,1,0,2,2,2,100,4,4,1,0,3,2,3,3,3,4,1,1,0,0,0,0,1,0,0,0,6,4,-2,-2,65,100,5,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,-2,0,5,3,3,5,1,1,5,8,1,0,3,6,0,1,1,0,2,1
1,2,7,7,5,55,2,2,2,4,3,3,2,3,3,2,53,4,3,4,4,3,4,4,3,3,2,5,4,4,1,4,4,4,4,5,4,2,4,5,5,0,0,3,1,1,5,5,3,2,1,1,2,1,0,1,-1.713,1,3,3,1,2,1,1,1,2,0,1,0,1,0,0,0,0,0,2,2,4,2,0,-2,-2,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,0,2,2,1,1,1,1,1,1,1,0,1,0,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,-1,3,1,1,1,1,1,1,1,2,1,1,2,3,3,100,4,3,2,0,3,2,3,3,4,5,1,0,0,0,0,0,0,0,0,0,4,4,-2,-2,70,100,3,1,0,-1,0,0,3,0,0,1,0,0,0,0,0,0,-2,0,5,1,4,3,4,2,1,2,4,1,4,9,0,0,0,0,1,0
1,3,7,5,7,67,3,3,1,5,2,3,1,3,1,2,77,5,5,5,5,3,5,5,5,5,2,6,5,4,0,2,2,3,2,5,3,5,5,5,6,7,1,4,2,1,5,6,4,2,1,2,2,1,0,1,-0.188,3,3,2,1,1,2,2,3,1,1,1,1,1,1,1,0,0,1,1,1,2,3,0,1,2,5,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,4,1,1,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,1,1,1,0,2,1,1,3,4,1,100,4,2,1,0,2,2,3,3,3,3,0,0,0,0,0,0,0,0,0,1,5,2,-2,-2,62,50,4,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,-2,1,3,4,3,2,1,2,3,8,1,0,1,2,0,0,0,0,3,0
1,3,7,7,4,62,5,3,2,3,3,5,1,1,1,1,51,4,3,4,3,4,3,3,5,3,2,4,5,3,0,4,4,4,4,5,5,5,5,6,6,1,1,5,5,4,5,4,3,3,1,3,2,1,1,1,1.2670000000000001,3,3,2,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,7,0,4,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,1,0,1,1,1,1,1,1,0,0,0,4,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-2,2,5,0,0,0,1,1,0,0,2,1,1,3,4,4,99,4,3,2,0,1,1,3,3,3,4,0,0,0,0,0,0,0,0,0,1,7,4,-2,-2,67,100,5,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,-2,0,5,4,3,5,3,1,3,9,1,1,3,5,0,0,1,0,2,0
1,3,5,5,7,40,1,2,3,3,5,4,3,2,4,4,47,3,3,3,3,3,4,4,3,4,2,3,3,2,1,4,3,4,3,2,3,1,2,2,4,0,1,4,4,2,4,2,3,2,3,3,2,0,1,1,0.242,2,3,2,1,1,2,4,1,1,0,1,1,1,1,1,1,0,1,3,2,4,7,0,-2,-2,3,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,3,1,0,2,2,0,2,2,2,2,1,2,1,1,1,2,1,1,0,0,0,0,4,1,1,1,1,0,1,0,1,0,0,1,0,0,0,3,-2,1,3,0,1,1,1,1,1,1,2,1,1,4,4,4,8,2,1,1,0,5,2,3,3,2,2,1,0,0,0,1,0,0,0,0,0,3,4,-2,-2,70,90,3,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0,-2,0,5,2,4,2,1,1,4,6,5,1,4,9,0,0,0,1,3,1
1,3,5,7,6,42,2,3,3,2,2,3,4,1,4,4,39,3,3,2,2,2,4,2,4,4,4,3,4,3,1,2,2,4,3,5,2,1,4,2,6,1,0,2,2,5,5,3,2,2,1,1,2,1,0,1,-0.909,1,3,3,1,1,2,2,4,1,0,1,0,1,1,1,0,0,1,3,1,2,6,0,2,98,4,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,2,0,2,1,0,1,1,1,1,1,1,0,0,0,3,1,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,4,0,0,0,0,0,0,0,1,1,0,4,4,2,50,3,3,1,0,2,2,3,3,4,4,0,0,0,0,0,0,0,0,0,1,6,3,-2,-2,65,15,4,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,-2,0,5,4,3,2,1,2,2,8,1,1,2,4,0,0,0,0,2,0
2,3,5,5,5,61,4,3,2,3,2,3,2,4,2,2,47,3,4,3,3,3,4,4,4,4,3,4,5,4,1,5,4,4,4,5,4,4,5,5,6,1,0,3,3,4,4,5,4,3,1,3,2,1,1,1,0.242,3,3,1,1,1,2,4,4,1,1,1,0,1,1,1,1,0,1,1,1,2,1,0,2,1,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,1,1,1,1,1,0,0,0,4,1,1,0,0,1,0,3,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,1,1,1,1,1,1,2,0,1,3,4,2,50,3,1,1,0,2,2,3,3,4,3,0,1,0,0,0,0,1,1,0,0,4,3,1,66,-2,75,3,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,-2,0,5,6,2,3,1,2,2,7,1,1,3,5,0,0,0,0,2,0
2,3,7,7,6,61,3,3,2,3,2,3,2,5,1,3,45,3,4,2,3,3,4,4,4,4,4,5,5,4,1,5,4,4,3,5,5,5,5,6,6,7,1,5,4,6,4,1,3,3,1,3,2,1,1,1,0.242,3,3,2,1,1,2,2,2,2,1,1,1,1,1,1,0,1,0,1,1,2,7,0,4,2,5,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,2,2,0,1,1,1,1,1,1,0,0,0,4,0,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,4,0,0,0,1,1,0,0,2,1,1,3,3,3,85,4,3,2,0,3,1,3,3,4,3,0,1,0,0,0,0,1,0,0,0,5,4,0,-2,-2,90,5,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,2,1,4,7,2,5,1,2,2,8,1,1,4,9,0,0,0,0,2,1
2,3,6,6,4,78,4,4,1,4,4,1,1,5,1,1,64,5,4,5,4,3,5,5,5,2,3,5,5,5,1,3,4,4,3,5,5,5,5,6,5,7,7,5,2,1,1,4,4,1,2,3,1,0,1,0,-0.57,3,2,3,1,2,2,2,2,1,1,0,0,1,0,1,0,1,1,1,2,1,4,0,-2,-2,6,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,4,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-2,1,2,0,0,0,0,1,1,0,3,0,0,2,4,2,100,4,5,2,0,2,1,3,3,3,3,0,0,0,0,0,0,0,0,0,1,4,4,1,65,-2,100,2,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,5,7,2,2,4,2,1,2,3,1,2,4,0,0,0,0,1,0
1,3,3,7,7,45,3,3,2,2,5,4,2,1,3,4,42,3,3,4,3,3,4,2,3,2,2,6,5,3,0,2,2,3,2,5,3,1,3,3,5,1,1,4,1,4,5,5,3,3,1,3,2,1,1,1,0.7120000000000001,3,3,2,1,1,2,4,1,1,1,1,1,1,1,1,1,0,1,2,1,2,5,0,2,2,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,1,0,2,1,0,1,1,1,1,1,1,0,0,1,3,1,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,1,0,1,2,1,1,2,3,4,50,4,2,2,0,2,3,4,3,4,2,0,1,0,0,0,0,0,0,0,0,6,4,-2,-2,65,100,4,0,0,0,2,0,7,0,0,0,0,0,0,1,0,0,-2,0,5,4,3,4,1,1,4,8,1,1,2,4,0,0,1,1,2,0
1,3,2,3,4,75,4,5,1,5,1,2,1,5,1,2,78,5,5,5,5,4,5,5,5,5,2,6,4,4,0,4,2,2,5,5,5,5,5,4,5,0,0,5,2,6,6,2,4,3,1,3,2,1,1,1,1.2670000000000001,3,3,2,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,3,2,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,2,1,0,1,3,0,1,1,1,1,1,1,0,0,0,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-2,1,4,0,1,0,1,1,1,0,2,1,1,3,2,1,89,3,5,2,0,3,2,3,3,4,5,0,0,0,0,1,0,0,0,0,0,5,4,-2,-2,67,72,4,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,2,0,5,5,2,4,2,1,1,4,4,1,2,3,0,0,0,0,1,0
2,3,7,7,7,73,4,4,2,4,2,2,1,5,1,1,60,4,4,4,4,4,4,4,5,5,2,6,5,5,0,4,4,4,4,5,5,5,5,6,6,7,7,3,4,2,5,3,4,2,1,1,2,1,0,1,0.7120000000000001,3,3,2,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,4,1,7,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,1,1,1,1,1,0,0,0,4,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,1,1,0,1,1,0,0,3,1,0,1,2,1,100,5,3,2,0,1,1,3,3,5,5,0,1,0,0,0,0,0,1,0,0,5,4,1,62,-2,90,5,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,2,1,4,7,1,4,1,2,2,7,1,1,3,5,0,0,0,0,2,0
1,2,7,7,7,59,3,4,2,4,2,3,2,3,1,3,48,3,3,3,4,3,4,4,3,3,2,5,5,4,1,5,4,4,4,5,5,5,3,5,6,0,1,3,1,3,4,4,3,3,1,3,2,1,1,1,-0.909,2,1,2,2,1,1,2,2,1,0,0,1,0,1,0,0,1,1,1,2,2,4,0,-2,-2,99,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,4,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,1,1,0,1,1,1,0,3,0,0,2,3,3,100,4,5,2,0,3,1,4,4,3,4,0,1,0,0,0,0,0,0,0,0,6,4,-2,-2,61,100,2,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,-2,0,5,3,3,2,4,2,4,3,1,1,4,9,0,0,0,1,3,1
1,3,7,7,6,47,2,4,2,4,3,5,3,3,2,5,31,2,4,2,2,1,3,1,3,3,3,3,3,2,0,4,4,3,3,5,5,1,5,3,6,7,1,2,5,1,2,3,3,2,3,3,2,0,1,1,-0.909,2,3,1,1,1,2,2,3,2,0,1,0,1,1,1,0,0,0,2,1,2,98,0,1,98,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,8,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,1,0,1,0,0,2,1,1,3,3,3,100,3,4,2,0,1,4,1,3,3,3,0,1,0,0,0,0,0,0,0,0,4,4,-2,-2,70,50,2,-1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,-2,0,5,4,2,2,1,2,2,3,1,0,3,5,0,0,0,0,2,1
1,3,6,6,4,43,2,3,3,3,3,3,4,2,3,4,45,3,4,2,3,3,3,4,3,4,3,4,4,2,1,5,4,4,2,5,2,3,5,5,6,1,1,4,3,2,2,2,3,3,1,3,2,1,1,1,0.242,3,3,2,1,1,2,3,4,1,1,1,1,1,1,1,0,0,1,2,1,2,2,0,1,1,5,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,2,2,0,1,2,0,1,1,1,2,2,1,0,0,0,3,1,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,-2,-1,4,0,0,0,0,0,0,0,2,1,1,1,1,1,80,2,3,2,0,4,2,2,3,1,2,0,0,0,0,0,0,1,0,0,0,5,3,-2,-2,67,20,4,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,-2,0,5,4,3,4,1,2,2,5,5,1,1,2,0,0,0,0,2,0
1,3,5,3,4,38,1,2,5,2,5,5,3,3,2,4,43,3,3,4,3,2,3,3,5,2,3,6,4,3,1,5,4,2,3,5,3,3,5,3,6,1,0,3,1,1,4,5,3,3,1,3,2,1,1,1,-0.57,2,3,1,1,1,2,2,4,1,0,1,0,1,1,1,0,0,1,2,1,2,98,0,1,99,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,3,3,0,1,1,1,1,1,1,0,0,0,3,1,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,-2,1,2,0,0,0,0,1,0,0,2,0,1,1,1,1,100,3,2,2,0,3,1,3,3,5,4,0,0,0,0,0,0,0,0,0,1,5,3,-2,-2,67,50,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,-2,0,5,5,2,2,4,2,3,5,1,1,3,7,0,0,0,0,3,0
1,3,1,1,1,74,3,5,1,5,3,1,1,4,1,1,85,5,5,5,5,5,5,5,5,5,1,7,5,5,1,1,5,5,5,5,5,5,5,5,5,0,0,5,1,1,4,7,4,1,2,2,2,0,0,1,-1.215,3,3,1,1,2,2,1,4,2,1,1,0,1,0,1,0,0,0,1,2,3,99,0,-2,-2,99,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,1,1,1,1,1,0,0,0,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,1,1,1,1,1,1,0,1,0,0,3,3,3,0,4,4,2,0,4,4,4,4,5,5,0,0,0,0,0,0,0,0,0,1,7,4,-2,-2,65,50,3,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,-2,0,5,2,4,3,4,2,1,5,4,1,2,3,0,0,0,0,1,0
1,3,4,6,7,42,1,3,5,2,2,5,3,2,3,3,49,3,4,3,3,3,4,4,4,4,2,5,5,3,1,4,4,4,4,5,5,1,5,6,6,1,1,4,5,6,5,3,4,3,1,3,2,1,1,1,1.2670000000000001,3,3,2,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,2,1,2,6,0,2,1,4,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,3,1,0,2,2,0,2,2,1,3,2,1,0,0,1,1,0,1,0,0,1,0,3,0,1,1,1,0,1,1,0,0,0,0,1,0,0,2,0,1,2,0,1,0,1,1,0,0,2,1,1,4,4,2,40,3,3,1,0,4,3,3,3,4,3,0,1,0,1,1,0,0,1,0,0,5,3,-2,-2,68,50,4,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,-2,1,2,5,2,3,1,1,5,7,1,0,2,4,0,0,0,1,4,0
1,3,1,1,1,50,4,3,3,4,2,4,3,2,2,3,78,5,5,5,5,5,5,5,4,5,2,6,4,4,1,4,4,4,4,5,4,5,4,5,5,-1,-1,-1,-1,3,5,5,4,1,1,-1,-1,1,0,0,-1.485,-1,-1,-1,-1,1,2,-1,-1,1,0,0,0,0,1,1,0,0,1,2,1,2,-1,0,99,99,99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-2,-1,5,1,1,1,1,1,1,1,-1,0,0,-1,-1,1,-1,4,4,-1,0,-1,-1,-1,-1,5,5,0,0,0,0,0,0,0,0,0,1,-1,4,-2,-2,-1,-1,5,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-2,0,5,5,2,5,2,2,2,8,1,1,2,4,0,0,0,0,2,0
1,3,6,5,7,72,4,4,1,4,2,1,1,4,1,2,68,4,5,5,5,5,4,5,5,1,1,7,5,5,1,5,5,4,4,5,5,4,5,5,5,0,0,5,2,6,6,3,4,3,1,3,2,1,1,1,1.2670000000000001,3,3,2,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,0,2,2,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,2,1,0,1,1,1,1,1,1,0,0,0,4,1,1,1,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,-2,1,2,1,0,0,1,1,0,0,2,1,1,2,3,3,90,5,3,2,0,2,2,3,3,2,4,0,1,0,0,0,0,0,0,0,0,5,4,-2,-2,62,50,4,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,5,5,2,3,1,2,2,8,1,1,2,3,0,0,0,0,2,0
2,3,5,5,5,65,4,4,2,4,2,2,2,4,1,2,56,4,4,4,4,4,4,3,4,4,2,6,4,3,0,2,2,3,3,5,4,5,5,4,5,0,0,5,2,5,5,2,4,3,1,3,2,1,1,1,0.7120000000000001,3,3,2,1,1,2,3,2,1,1,1,1,1,1,1,0,1,1,1,1,2,1,0,2,1,7,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,2,1,2,1,0,1,1,1,1,1,1,0,0,0,4,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,4,0,0,0,0,0,0,0,1,1,0,3,3,2,95,3,2,1,0,2,2,3,3,3,3,0,0,0,0,0,0,0,0,0,1,6,4,1,62,-2,99,4,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,2,0,5,6,2,4,1,1,2,7,1,1,3,5,0,0,0,0,2,0
1,3,4,5,2,45,4,3,4,3,4,5,3,3,2,4,54,4,4,3,4,3,5,4,3,5,4,5,5,3,1,4,3,4,2,5,4,3,4,2,5,0,7,4,3,2,5,5,3,2,3,3,2,0,1,1,0.242,3,3,2,1,1,2,2,4,1,1,1,1,1,1,1,0,0,1,2,1,5,6,0,3,2,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,2,0,1,1,1,1,2,1,0,0,0,4,1,0,0,0,1,8,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,-2,1,4,0,1,0,1,1,0,0,2,1,1,1,3,2,70,4,1,2,0,3,2,3,3,5,4,0,0,0,0,1,0,1,0,0,0,5,2,0,-2,-2,85,4,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,-2,1,4,6,2,4,1,2,3,8,2,1,1,2,0,0,0,0,3,0
2,3,4,4,7,71,4,4,1,4,1,2,2,5,1,2,43,3,3,3,3,3,4,4,3,3,3,4,5,4,1,4,3,3,3,4,4,4,5,6,5,0,1,3,4,1,3,5,3,3,1,3,2,1,1,1,1.2670000000000001,3,3,2,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,99,0,4,99,99,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,2,1,0,1,1,1,1,1,1,0,0,0,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,0,1,1,1,1,0,1,2,1,1,2,3,2,100,3,4,2,0,3,1,3,2,4,2,0,1,0,0,1,0,1,1,0,0,6,4,1,63,-2,-2,5,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,1,2,8,1,5,3,1,2,7,1,1,4,9,0,0,0,0,2,0
1,2,6,6,6,52,2,3,2,3,3,3,3,3,2,3,44,3,3,3,3,3,3,3,4,4,4,4,4,3,1,4,4,4,4,5,4,3,4,5,6,0,0,3,4,1,4,4,3,3,1,3,2,1,1,1,-0.188,3,3,2,1,1,2,3,1,2,1,1,1,1,1,1,0,0,0,2,1,2,99,0,1,99,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,0,2,1,0,2,2,1,1,1,1,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,1,1,1,1,1,0,0,2,1,1,3,3,2,50,2,1,2,0,3,2,2,2,3,4,0,1,1,0,0,0,0,0,0,0,6,3,-2,-2,65,40,3,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,-2,0,5,4,3,1,4,2,3,2,1,1,3,7,0,0,0,0,3,1
1,3,1,7,7,36,5,5,5,3,5,5,3,3,5,3,71,5,5,5,5,5,5,5,3,3,3,7,5,5,1,5,5,5,5,3,5,2,5,6,6,1,1,5,1,1,6,7,4,1,2,1,2,0,0,1,-1.713,1,1,1,2,2,2,2,1,1,0,0,0,0,0,1,0,0,1,2,2,1,4,1,-2,-2,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,1,2,1,1,1,1,8,0,0,3,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,-2,1,2,0,1,1,1,1,1,0,2,0,1,4,4,4,-1,3,1,2,0,3,2,3,4,3,5,1,0,0,1,0,0,0,0,0,0,7,3,-2,-2,-3,100,5,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,-2,0,5,3,3,2,2,2,4,9,4,0,3,6,1,0,0,0,1,1
1,2,5,5,6,56,3,4,2,3,3,3,2,4,3,2,50,3,3,3,4,4,4,4,3,4,3,5,4,3,0,4,2,3,2,4,4,4,2,6,6,1,1,4,4,4,4,1,4,3,1,3,2,1,1,1,0.7120000000000001,2,3,2,1,1,2,4,2,1,0,1,1,1,1,1,1,1,1,1,2,4,3,0,-2,-2,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,1,0,1,1,1,1,1,1,0,0,0,4,1,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,-2,1,4,1,1,1,1,1,1,1,2,1,1,2,4,3,90,4,1,1,0,3,2,3,3,5,4,1,0,1,0,1,1,1,0,0,0,2,3,-2,-2,65,90,4,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,-2,0,5,1,4,4,1,2,1,1,4,1,3,5,0,0,0,0,1,0
